Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
Final Nacional Sub 10 y Sub 16,06/05/2013,06/10/2013,Campeonato Nacional,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE AJEDREZ
Nacional de Mayores (Absoluto y Femenino),07/01/2013,07/07/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE AJEDREZ
Panamericano Sub 20,07/09/2013,07/14/2013,Campeonato Panamericano,Facatativá,COLOMBIA,Cundinamarca,FEDERACIÓN COLOMBIANA DE AJEDREZ
Festival Panamericano Sub 8 a Sub 18,07/22/2013,07/29/2013,Campeonato Panamericano,Brasil ,BRASIL,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Torneo IRT Feria de las Flores,08/03/2013,08/07/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AJEDREZ
Centroamericano y del Caribe Sub 20,08/08/2013,08/20/2013,Campeonato Centroamericano y del Caribe,San Salvador,SALVADOR,,FEDERACIÓN COLOMBIANA DE AJEDREZ
Festival Mundial de Menores Sub 8 y Sub 18,12/17/2013,12/29/2013,Campeonato Mundial,Al Ain,EMIRATOS ÁRABES,,FEDERACIÓN COLOMBIANA DE AJEDREZ
CAMPEONATO MULTISITIOS DE AMERICA,01/01/2013,04/30/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
1º RANKING NACIONAL,02/22/2013,02/24/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA
GRAN PRIX MEXICANO,03/04/2013,03/11/2013,Grand Prix Internacional,Playa del Carmen,MEXICO,,FEDERACIÓN ARQUEROS DE COLOMBIA
2º RANKING NACIONAL CAMPO,03/08/2013,03/10/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA
TORNEO DE CAMPO,03/30/2013,04/02/2013,Campeonato Suramericano,Claromecó,ARGENTINA,,FEDERACIÓN ARQUEROS DE COLOMBIA
Curso de Preparacion Estadísticas IANSEO,04/19/2013,04/24/2013,Evento Académico,Santo Domingo,REPÚBLICA DOMINICANA,,FEDERACIÓN ARQUEROS DE COLOMBIA
CAPACITACION MONITORES NIVEL II- Formacion de Arqueros,04/19/2013,04/26/2013,Evento Académico,Medellín,COLOMBIA, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA
PRIMERA PARADA REGIONAL DE FORMACION DE ARQUEROS,04/26/2013,04/30/2013,Evento de Preparacion Deportiva,Cartagena ,COLOMBIA, Bolívar,FEDERACIÓN ARQUEROS DE COLOMBIA
CAMPEONATO NACIONAL INTERLIGAS Y CLASIFICATORIO A W G,04/26/2013,04/28/2013,Campeonato Nacional,Cartagena ,COLOMBIA, Bolívar,FEDERACIÓN ARQUEROS DE COLOMBIA
