Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
XXVII TORNEO ABIERTO INTERNACIONAL CIUDAD DE BOGOTÁ ¨SAUL INSIGNARES MELO¨EBONITE INTERNACIONAL,08/04/2013,08/11/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING
Campeonato Mundial Senior,08/10/2013,08/16/2013,Campeonato Mundial,Las Vegas,ESTADOS UNIDOS,,FEDERACION COLOMBIANA DE BOWLING
Campeonato Mundial Masculino y Femenino,08/18/2013,08/31/2013,Campeonato Mundial,Las Vegas,ESTADOS UNIDOS,,FEDERACION COLOMBIANA DE BOWLING
Selectivo Juegos Bolivarianos,09/05/2013,09/08/2013,Concentración Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING
Campeonato Nacional Juvenil,09/17/2013,09/22/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACION COLOMBIANA DE BOWLING
Selectivo Nacional Senior,09/24/2013,09/29/2013,Torneo Abierto,Medellín,COLOMBIA, Antioquia,FEDERACION COLOMBIANA DE BOWLING
Campeonato Nacional Super Senior,10/09/2013,10/14/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACION COLOMBIANA DE BOWLING
Campeonato Panamericano Senior,10/20/2013,10/26/2013,Campeonato Panamericano,San José,COSTA RICA,,FEDERACION COLOMBIANA DE BOWLING
Campeonato Centroamericano y del Caribe Juvenil,11/02/2013,11/09/2013,Campeonato Centroamericano y del Caribe,San José,COSTA RICA,,FEDERACION COLOMBIANA DE BOWLING
Campeonato Nacional Primera categoria,11/12/2013,11/17/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACION COLOMBIANA DE BOWLING
Juegos Bolivarianos,11/24/2013,11/29/2013,Juegos Bolivarianos,Lima,PERU,,FEDERACION COLOMBIANA DE BOWLING
Selectivo Nacional Mayores y Juvenil,12/07/2013,12/15/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACION COLOMBIANA DE BOWLING
TORNEO CORDOVA CARDIN,06/01/2013,06/06/2013,Torneo Abierto,La Habana,CUBA,,FEDERACIÓN COLOMBIANA DE BOXEO
COPA OLIMPICA,06/05/2013,06/09/2013,Torneo Abierto,Caguas,PUERTO RICO,,FEDERACIÓN COLOMBIANA DE BOXEO
COPA ROBERTO BALADO,06/11/2013,06/15/2013,Campeonato Nacional,La Habana,CUBA,,FEDERACIÓN COLOMBIANA DE BOXEO
BATALLLA DE CARABOBO FEMENINO,06/12/2013,06/24/2013,Torneo Abierto,Valencia,VENEZUELA,,FEDERACIÓN COLOMBIANA DE BOXEO
BATALLA DE CARABOBO,06/19/2013,06/24/2013,Torneo Abierto,Valencia,VENEZUELA,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO NACIONAL JUVENIL,06/23/2013,06/30/2013,Campeonato Nacional,Dagua ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO NACIONAL ANDINO,06/29/2013,07/02/2013,Campeonato Nacional,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE BOXEO
XXVII UNIVERSIDAD DE VERANO,07/05/2013,07/17/2013,Campeonato Norteamericano,Kazan,RUSIA,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO NACIONAL JUNIOR,07/21/2013,07/27/2013,Campeonato Nacional,Santa Marta ,COLOMBIA, Magdalena,FEDERACIÓN COLOMBIANA DE BOXEO
CAPACITACION DE ENTRENADORES,07/25/2013,07/28/2013,Evento Académico,Barranquilla ,COLOMBIA, Atlántico,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO CONTINENTAL MASCULINO ELITE,08/02/2013,08/08/2013,Campeonato Nacional,Santiago de Chile,CHILE,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO CONTINENTAL FEMENINO,08/08/2013,08/14/2013,Campeonato Nacional,New Jersey,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO MUNDIAL JUVENIL,08/17/2013,08/26/2013,Campeonato Mundial,Kiev,UCRANIA,,FEDERACIÓN COLOMBIANA DE BOXEO
CONCENTRACION JUVENIL JUEGOS SURAMERICANOS,08/18/2013,09/18/2013,Concentración Nacional,Barranquilla ,COLOMBIA, Atlántico,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO SURAMERICANO MASCULINO Y FEMENINO JUVENIL,08/19/2013,08/28/2013,Campeonato Suramericano,Lima,PERU,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO NACIONAL FEMENINO,08/26/2013,08/31/2013,Campeonato Nacional,Toro ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE BOXEO
Juegos Suramericanos de la Juventud,09/18/2013,09/24/2013,Juegos Suramericanos,Callao,PERU,,FEDERACIÓN COLOMBIANA DE BOXEO
CINTURON DE ORO JUVENIL/CADETE,10/04/2013,10/10/2013,Campeonato Nacional,Puerto Viejo,ECUADOR,,FEDERACIÓN COLOMBIANA DE BOXEO
COPA PACIFICO,10/04/2013,10/10/2013,Campeonato Nacional,Guayaquil,ECUADOR,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO MUNDIALDE BOXEO MASCULINO,10/04/2013,10/20/2013,Campeonato Mundial,Almaty,KAZAJISTAN,,FEDERACIÓN COLOMBIANA DE BOXEO
COPA LA ROMANA MASCULINO/FEMENINO,10/21/2013,10/26/2013,Copa Mundo,Romana,REPÚBLICA DOMINICANA,,FEDERACIÓN COLOMBIANA DE BOXEO
JUEGOS BOLIVARIANOS MASCULINO/FEMENINO,11/22/2013,11/29/2013,Juegos Bolivarianos,Chiclayo,PERU,,FEDERACIÓN COLOMBIANA DE BOXEO
CAMPEONATO NACIONAL DE MAYORES,11/24/2013,11/30/2013,Campeonato Nacional,Valledupar ,COLOMBIA, Cesar,FEDERACIÓN COLOMBIANA DE BOXEO
Selectivo Universitario,05/03/2013,05/03/2013,Clasificatorio al Mundial,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
27 Festival Internacional CACBF,05/17/2013,05/26/2013,Juegos Centroamericanos y del Caribe,Panamá,PANAMA,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Campeonato Sudamerican de Bridge,05/25/2013,06/01/2013,Campeonato Suramericano,Rio de Janeiro,BRASIL,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Copa Equipos,06/01/2013,06/02/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Selectivo Nacional,06/07/2013,06/08/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
3er Campeonato Open Juvenil Mundial,08/03/2013,08/11/2013,Copa Mundo,Atlanta,ESTADOS UNIDOS,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Regional,08/16/2013,08/18/2013,Campeonato Nacional,Barranquilla ,COLOMBIA, Atlántico,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Bermuda Bowl y Venice Cup,09/16/2013,09/29/2013,Copa Mundo,Bali,INDONESIA,,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Abierto Almirante Colon,10/05/2013,10/05/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Calificativo Internacional,10/12/2013,10/13/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Regional Eje Cafetero,11/01/2013,11/03/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Open Juvenil,12/06/2013,12/08/2013,Copa Mundo,El Rosal ,COLOMBIA, Cundinamarca,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
Nacional De Equipos,12/06/2013,12/08/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN DE CLUBES DE BRIDGE DE COLOMBIA
CONCENTRACION EQUIPO DE CANOTAJE,05/13/2013,12/15/2013,Concentración Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
III MARATON NACIONAL,05/16/2013,05/19/2013,Campeonato Nacional,Guatape ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
COPA COLOMBIA DE CANOTAJE DE VELOCIDAD,07/11/2013,07/14/2013,Campeonato Nacional,Barrancabermeja ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
GRAN PRIX DE CANOTAJE DE VELOCIDAD,07/11/2013,07/14/2013,Campeonato Nacional,Yaguara ,COLOMBIA, Huila,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
JUEGOS MUNDIALES,07/25/2013,08/04/2013,Campeonato Mundial,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO MUNDIAL JUVENIL - CANOTAJE DE VELOCIDAD,08/01/2013,08/05/2013,Campeonato Mundial,Welland,CANADA,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
GRAN PRIX DE CANOTAJE DE VELOCIDAD,08/08/2013,08/11/2013,Campeonato Nacional,Paipa ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO MUNDIAL SENIOR DE CANOTAJE DE VELOCIDAD,08/22/2013,08/26/2013,Campeonato Mundial,Diusburg,ALEMANIA,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
GRAN PRIX DE CANOTAJE DE VELOCIDAD,09/12/2013,09/15/2013,Campeonato Nacional,Calima Darien,COLOMBIA,Valle del Cauca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO DE REMO Y CANOTAJE,09/18/2013,09/29/2013,Juegos Suramericanos de la Juventud,Lima,PERU,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
FESTIVAL NAUTICO DEL GUAVIO,10/10/2013,10/13/2013,Campeonato Nacional,Gachala ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO NACIONAL DE SLALOM,10/10/2013,10/13/2013,Campeonato Nacional,San Gil ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO PANAMERICANO DE CANOTAJE DE VELOCIDAD,10/17/2013,10/20/2013,Campeonato Panamericano,Ponce,PUERTO RICO,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO SURAMERICANO DE SLALOM,11/14/2013,11/17/2013,Campeonato Suramericano,Pucon,CHILE,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
JUEGOS BOLIVARIANOS - CANOTAJE Y REMO,11/16/2013,11/30/2013,Juegos Bolivarianos,Lima,PERU,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO NACIONAL DE CANOTAJE DE VELOCIDAD,11/21/2013,11/24/2013,Campeonato Nacional,Guatape ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CAMPEONATO DE REMO Y CANOTAJE,12/03/2013,12/13/2013,Juegos Suramericanos de Playa,Vargas,VENEZUELA,,FEDERACIÓN COLOMBIANA DE CANOTAJE Y REMO
CIRCUITO DE MANIZALES,01/09/2013,01/09/2013,Campeonato Nacional,Manizales ,COLOMBIA, Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO
CIRCUITO DE TUTA,01/19/2013,01/19/2013,Campeonato Nacional,Tuta ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO
I - II VALIDA NACIONAL BMX,02/15/2013,02/17/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
I VALIDA COPA NACIONAL DH - XC,02/16/2013,02/17/2013,Campeonato Nacional,Manizales ,COLOMBIA, Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO
PREMIO AUGUSTO TRIANA,02/17/2013,02/17/2013,Campeonato Nacional,Fusagasugá,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DE SUCRE,03/15/2013,03/17/2013,Campeonato Nacional,Sucre ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CICLISMO
III - IV VALIDA NACIONAL BMX,03/15/2013,03/17/2013,Campeonato Nacional,Chía,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
II VALIDA COPA NACIONAL DH - XC,03/16/2013,03/17/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
II VALIDA COPA NACIONAL DH - XC,03/16/2013,03/17/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DEL VALLE,03/20/2013,03/24/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
15th Gran Premio Miguel Indurain,03/30/2013,03/30/2013,Grand Prix Internacional,Navarra,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
53rd Vuelta Ciclistica a La Rioja,03/31/2013,03/31/2013,Grand Prix Internacional,La Rioja,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE ANAPOIMA,04/03/2013,04/06/2013,Campeonato Nacional,Anapoima ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
59 th KLASIKA PRIMAVERA DE AMOREBIETA,04/07/2013,04/07/2013,Grand Prix Internacional,Aorebieta,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE FUSAGASUGA,04/11/2013,04/14/2013,Campeonato Nacional,Fusagasugá,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
PARADA DE PISTA,04/12/2013,04/14/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
CAMPEONATO NACIONAL DE BMX,04/12/2013,04/13/2013,Campeonato Nacional,Barrancabermeja ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CICLISMO
28th Vuelta a Castilla y Leon,04/12/2013,04/14/2013,Grand Prix Internacional,Castilla y León,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CAMPEONATOS NACIONALES DE RUTA,04/18/2013,04/21/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DEL TOLIMA,04/24/2013,04/28/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE CICLISMO
47th Le Tour de Bretagne Cycliste trophee harmonie Mutuelle,04/25/2013,05/01/2013,Grand Prix Internacional,Bretagne,FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
Vuelta a la Comunidad de Madrid,05/04/2013,05/04/2013,Grand Prix Internacional,Madrid,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
III VALIDA COPA NACIONAL DH - XC,05/04/2013,05/05/2013,Campeonato Nacional,Palmira ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DEL CARMEN DE VIBORAL,05/09/2013,05/12/2013,Campeonato Nacional,Carmen De Viboral ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
Vuelta a Asturias Julio Alvarez Mendo,05/11/2013,05/12/2013,Grand Prix Internacional,Asturias,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
Ronde de l¨,05/16/2013,05/19/2013,Grand Prix Internacional,St. Girons,FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA INTERNACIONAL DEL CAFE,05/16/2013,05/19/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE CICLISMO
PARADA DE PISTA,05/17/2013,05/19/2013,Campeonato Nacional,Duitama ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA ANTIOQUIA,05/22/2013,05/26/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
TOUR DE GIRONDE,05/23/2013,05/26/2013,Grand Prix Internacional,Gironde,FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA CIUDAD DE GIRADOT,05/28/2013,06/01/2013,Campeonato Nacional,Girardot ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA INTERNACIONAL DEL CARIBE,05/30/2013,06/02/2013,Campeonato Nacional,Barranquilla ,COLOMBIA, Atlántico,FEDERACIÓN COLOMBIANA DE CICLISMO
IV VALIDA COPA NACIONAL DH - XC,06/01/2013,06/02/2013,Campeonato Nacional,Pasto ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE CICLISMO
Coupe des Nations Ville Saguenay,06/07/2013,06/09/2013,Grand Prix Internacional,Quebec,CANADA,,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA A COLOMBIA,06/09/2013,06/23/2013,Campeonato Nacional,Ipiales ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE CICLISMO
CAMPEONATOS NACIONALES DE RUTA Y PISTA JUVENILES,06/25/2013,06/30/2013,Campeonato Nacional,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA HEROES DE LA PATRIA,07/04/2013,07/07/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
PARADA DE PISTA,07/05/2013,07/07/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
VI- VII VALIDA NACIONAL BMX,07/06/2013,07/07/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA A NARIÑO,07/12/2013,07/14/2013,Campeonato Nacional,Pasto ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA MARCO FIDEL SUAREZ,07/17/2013,07/21/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
V VALIDA COPA NACIONAL DH - XC,07/20/2013,07/21/2013,Campeonato Nacional,Ubate ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
TOUR DE ALSACE,07/23/2013,07/28/2013,Grand Prix Internacional,"Ecomusse, Saushem",FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA CIUDAD DE SANTA MARTA,07/27/2013,07/29/2013,Campeonato Nacional,Santa Marta ,COLOMBIA, Magdalena,FEDERACIÓN COLOMBIANA DE CICLISMO
68. Circuito Gexto 13 Memorial Ricardo otxoa,07/31/2013,07/31/2013,Grand Prix Internacional,Getxo,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE GUARNE,08/01/2013,08/03/2013,Campeonato Nacional,Guarne ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
Vuelta Ciclistica Leon,08/02/2013,08/04/2013,Grand Prix Internacional,León,ESPAÑA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE FUNZA,08/05/2013,08/08/2013,Campeonato Nacional,Funza ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE LA COSECHA,08/09/2013,08/11/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
TOUR DE LAIN LA ROUTE DU PRGRES,08/09/2013,08/13/2013,Grand Prix Internacional,"Nantua, Lagnieu",FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
CIRCUITO FERIA DE PALMIRA,08/11/2013,08/11/2013,Campeonato Nacional,Palmira ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DEPORTIVO BOYACA,08/15/2013,08/17/2013,Campeonato Nacional,Tunja ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA INTERNACIONAL ALCALDIA DE POPAYAN,08/16/2013,08/18/2013,Campeonato Nacional,Popayan ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA JUVENIL AL VALLE,08/16/2013,08/18/2013,Campeonato Nacional,Palmira ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA FEMENINA DEL VALLE,08/16/2013,08/18/2013,Campeonato Nacional,Palmira ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
FESTIVAL DE VERANO BMX,08/18/2013,08/19/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DE SANTANDER,08/21/2013,08/25/2013,Campeonato Nacional,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE CICLISMO
Tour del Avenir,08/24/2013,08/31/2013,Grand Prix Internacional,Belley,FRANCIA,,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DE LA JUVENTUD,08/27/2013,09/01/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DE CUNDINAMARCA,09/03/2013,09/07/2013,Campeonato Nacional,Soacha,COLOMBIA,Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA BOYACA,09/11/2013,09/15/2013,Campeonato Nacional,Tunja ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DEL CESAR,09/18/2013,09/21/2013,Campeonato Nacional,Valledupar ,COLOMBIA, Cesar,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE MARINILLA,09/20/2013,09/22/2013,Campeonato Nacional,Marinilla ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
PARADA DE PISTA,09/20/2013,09/22/2013,Campeonato Nacional,Barranquilla ,COLOMBIA, Atlántico,FEDERACIÓN COLOMBIANA DE CICLISMO
X-XI VALIDA NACIONAL BMX,09/21/2013,09/22/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICO RCN,09/27/2013,10/06/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA DEL PORVENIR Y TOUR FEMENINO,10/08/2013,10/12/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
CAMPEONATO NACIONAL DE DH - XC,10/12/2013,10/13/2013,Campeonato Nacional,Palmira ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA COLEGIO DE JUECES - TOLIMA,10/13/2013,10/13/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA DE AGUAZUL,10/17/2013,10/19/2013,Campeonato Nacional,Aguazul ,COLOMBIA, Casanare,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA FUTURAS ESTRELLAS,10/25/2013,10/27/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
CLASICA SAN FELIX,10/25/2013,10/27/2013,Campeonato Nacional,Chinchina ,COLOMBIA, Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO
XII - XIII VALIDA NACIONAL BMX,11/09/2013,11/10/2013,Campeonato Nacional,Chinchina ,COLOMBIA, Caldas,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA JUVENIL DE ANTIOQUIA,11/15/2013,11/17/2013,Campeonato Nacional,Antioquia ,COLOMBIA,Antioquia,FEDERACIÓN COLOMBIANA DE CICLISMO
VUELTA NACIONAL DEL FUTURO,11/27/2013,11/30/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE CICLISMO
AGUINALDO FUSAGASUGUEÑO,12/01/2013,12/01/2013,Campeonato Nacional,Fusagasugá,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE CICLISMO
CAMPEONATO MUNDIAL DE COLEO CONFEDERACIONES,05/11/2013,05/12/2013,Campeonato Mundial,Mexico D.F.,MEXICO,,FEDERACIÓN COLOMBIANA DE COLEO
COPA BOTALON,06/01/2013,06/02/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
ORGULLO RONDONEÑO,06/08/2013,06/09/2013,Torneo Abierto,Puerto Rondon ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
LA CACHERA DE ORO,06/15/2013,06/16/2013,Torneo Abierto,Tame ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
LOS CRIOLLITOS DE CASTILLA,06/15/2013,06/15/2013,Torneo Abierto,Castilla La Nueva ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
COPA SAN PADRINO,06/22/2013,06/23/2013,Torneo Abierto,Castilla La Nueva ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
ENCUENTRO CONFRATERNIDAD COLOMBO VENEZOLANA,06/29/2013,06/30/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
ASUNCION DE ORO,06/29/2013,06/30/2013,Torneo Abierto,Tame ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
XXVII TALENTO SAN MARTINERO,06/30/2013,06/30/2013,Torneo Abierto,San Martin ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
HARTON DE ORO,07/06/2013,07/07/2013,Torneo Abierto,Tame ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
PROGRESO GARANTIZADO,07/14/2013,07/14/2013,Torneo Abierto,Castilla La Nueva ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
COPA LIBERTADORES,07/20/2013,07/20/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
GUARRACUCO DE ORO,07/20/2013,07/20/2013,Torneo Abierto,Barranca De Upia ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
EL SARGENTO DE ORO,07/20/2013,07/20/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
II VALIDA DEPARTAMENTAL,07/27/2013,07/28/2013,Evento de Preparacion Deportiva,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
